	x_1	x_2	y
0	EJ Manuel the 1st QB to go in this draft	But my bro from the 757 EJ Manuel is the 1st QB gone	1
1	EJ Manuel the 1st QB to go in this draft	Can believe EJ Manuel went as the 1st QB in the draft	1
2	EJ Manuel the 1st QB to go in this draft	EJ MANUEL IS THE 1ST QB what	1
3	EJ Manuel the 1st QB to go in this draft	EJ da 1st QB off da board	1
4	EJ Manuel the 1st QB to go in this draft	Manuel is the 1st QB to get drafted	1
5	EJ Manuel the 1st QB to go in this draft	My boy EJ Manuel being the 1st QB picked	1
6	EJ Manuel the 1st QB to go in this draft	Not surprised EJ Manuel was 1st QB taken	1
7	EJ Manuel the 1st QB to go in this draft	WOW EJ MANUEL FSU 1ST QB TAKEN	1
8	EJ Manuel the 1st QB to go in this draft	Wow EJ Manuel 1st QB taken in the draft	1
9	EJ Manuel the 1st QB to go in this draft	if EJ is the 1st QB off the board	1
10	So EJ Manuel is the 1st QB taken	Bills take EJ Manuel QBFlorida State 1st QB off the board	1
11	So EJ Manuel is the 1st QB taken	Can NOT believe EJ Manuel was 1st qb taken in the draft	1
12	So EJ Manuel is the 1st QB taken	Damon EJ 1st Qb off the board	1
13	So EJ Manuel is the 1st QB taken	EJ Manuel not Geno Smith the 1st QB taken	1
14	So EJ Manuel is the 1st QB taken	EJ Manuel the 1st QB taken hmm I wonder who predicted that	1
15	So EJ Manuel is the 1st QB taken	I was wrong EJ was the 1st QB off the board	1
16	So EJ Manuel is the 1st QB taken	Manuel over Geno as the 1st QB taken	1
17	So EJ Manuel is the 1st QB taken	Shock of the night EJ Manuel 1st QB taken	1
18	So EJ Manuel is the 1st QB taken	Who wouldve thought EJ Manuel would be the 1st qb taken in the draft	1
19	So EJ Manuel is the 1st QB taken	Wow Ej Manuel is 1st qb taken	1
20	EJ Manuel is the 1st QB in the draft	1st QB of the board EJ Manuel	1
21	EJ Manuel is the 1st QB in the draft	1st QB of the board is	0
22	EJ Manuel is the 1st QB in the draft	Bills take EJ Manuel QBFlorida State 1st QB off the board	1
23	EJ Manuel is the 1st QB in the draft	EJ Manuel 1st QB off the board taken by the Bills	1
24	EJ Manuel is the 1st QB in the draft	EJ Manuel selected as the 1st QB in the 2013 NFL Draft	1
25	EJ Manuel is the 1st QB in the draft	EJ Manuel will be the 1st QB taken in the 2013 NFL Draft	1
26	EJ Manuel is the 1st QB in the draft	Ej Manuel 1st QB picked he on	1
27	EJ Manuel is the 1st QB in the draft	laughing out loud and 1st QB off the board	0
28	EJ Manuel is the 1st QB in the draft	WOW EJ MANUEL FSU 1ST QB TAKEN	1
29	EJ Manuel is the 1st QB in the draft	t Ej Manuel 1st Qb off the board VA good Sh	1
30	EJ Manuel was the 1st QB picked overall	1st QB of the board EJ Manuel	1
31	EJ Manuel was the 1st QB picked overall	1st QB taken in the draft go noles	1
32	EJ Manuel was the 1st QB picked overall	And Geno is NOT the 1st QB taken	1
33	EJ Manuel was the 1st QB picked overall	Did anyone call EJ being the 1st QB off the boards	1
34	EJ Manuel was the 1st QB picked overall	EJ Manuel is the 1st QB to get picked	1
35	EJ Manuel was the 1st QB picked overall	EJ really the 1st qb taken	1
36	EJ Manuel was the 1st QB picked overall	Florida State's EJ Manuel was the 1st QB taken	1
37	EJ Manuel was the 1st QB picked overall	laughing out loud and 1st QB off the board	1
38	EJ Manuel was the 1st QB picked overall	SO to my boy CBaire1 for EJ Manuel being the 1st QB taken	1
39	EJ Manuel was the 1st QB picked overall	WOW EJ MANUEL THE 1ST QB TAKEN LMFAO	1
40	EJ Manuel 1st QB taken in the NFLDraft	1st QB taken on the 17th pick in NFLDraft different	1
41	EJ Manuel 1st QB taken in the NFLDraft	757 stand up EJ MANUEL 1st QB IN THE 2013 DRAFT	1
42	EJ Manuel 1st QB taken in the NFLDraft	EJ MANUEL did go 1st QB	1
43	EJ Manuel 1st QB taken in the NFLDraft	EJ Manuel 1st QB taken haha the bills being the bills	1
44	EJ Manuel 1st QB taken in the NFLDraft	EJ Manuel the 1st QB taken hmm I wonder who predicted that	1
45	EJ Manuel 1st QB taken in the NFLDraft	EJ Manuel was the 1st QB picked overall	1
46	EJ Manuel 1st QB taken in the NFLDraft	Ej Manuel 1st QB picked in the draft	1
47	EJ Manuel 1st QB taken in the NFLDraft	Is this the 1st QB pick	0
48	EJ Manuel 1st QB taken in the NFLDraft	Who had EJ Manuel being the 1st QB taken in the draft	1
49	EJ Manuel 1st QB taken in the NFLDraft	Who had EJ as 1st QB taken	1
50	EJ Manuel 1st QB taken in the NFLDraft	Bills just took EJ Manuel as the 1st QB at pick 16	1
51	EJ Manuel 1st QB taken in the NFLDraft	EJ MANUEL 1st QB taken to Buffalo	1
52	EJ Manuel 1st QB taken in the NFLDraft	EJ Manuel was the 1st QB taken I wasnt looking for that	1
53	EJ Manuel 1st QB taken in the NFLDraft	EJ is the 1st QB taken in the draft justifying my previous sentiments of EJ Manuel	1
54	EJ Manuel 1st QB taken in the NFLDraft	EJ is the 1st qb in the draft	1
55	EJ Manuel 1st QB taken in the NFLDraft	Florida State's EJ Manuel was the 1st QB taken	1
56	EJ Manuel 1st QB taken in the NFLDraft	I knew ej was gon not applicable be the 1st qb drafted	1
57	EJ Manuel 1st QB taken in the NFLDraft	Latest the 1st QB was ever taken	0
58	EJ Manuel 1st QB taken in the NFLDraft	Someone please explain to me how EJ Manuel is the 1st QB taken	1
59	EJ Manuel 1st QB taken in the NFLDraft	Wait EJ Manuel was the 1st QB taken	1
60	EJ Manuel is the 1st qb taken huh	1st QB in the draft go noles	0
61	EJ Manuel is the 1st qb taken huh	1st QB off of the board	0
62	EJ Manuel is the 1st qb taken huh	EJ Manuel has been drafted as the 1ST QB TAKEN IN THE 2013 NFLDraft	1
63	EJ Manuel is the 1st qb taken huh	EJ Manuel is the 1st qb taken huh	1
64	EJ Manuel is the 1st qb taken huh	I was wrong EJ was the 1st QB off the board	1
65	EJ Manuel is the 1st qb taken huh	Not surprised EJ Manuel was the 1st QB picked in draft	1
66	EJ Manuel is the 1st qb taken huh	So EJ Manuel is the 1st QB off the board	1
67	EJ Manuel is the 1st qb taken huh	Who had EJ as 1st QB taken	1
68	EJ Manuel is the 1st qb taken huh	Wow EJ Manuel is 1st QB selected	1
69	EJ Manuel is the 1st qb taken huh	to the buffalobills 1st QB taken 16 overall pick	0
70	Didnt See Ej Manuel As The 1st QB Taken	1st QB to go in the 2013 NFL Draft	1
71	Didnt See Ej Manuel As The 1st QB Taken	EJ Manual is the 1st qb taken by the bills	1
72	Didnt See Ej Manuel As The 1st QB Taken	EJ Manuel 1st QB off the Draft	1
73	Didnt See Ej Manuel As The 1st QB Taken	EJ Manuel had himself as the 1st QB	1
74	Didnt See Ej Manuel As The 1st QB Taken	EJ Manuel the 1st QB to get drafted	1
75	Didnt See Ej Manuel As The 1st QB Taken	Geno wasnt the 1st QB picked	0
76	Didnt See Ej Manuel As The 1st QB Taken	He's the 1st QB drafted too	0
77	Didnt See Ej Manuel As The 1st QB Taken	He's the 1st QB taken in the draft	1
78	Didnt See Ej Manuel As The 1st QB Taken	I wasnt expecting EJ Manuel to be the 1st QB to get drafted	1
79	Didnt See Ej Manuel As The 1st QB Taken	Is this the 1st QB pick	0
80	Damon EJ 1st Qb off the board	1st QB off the board 1st Nole off the board	1
81	Damon EJ 1st Qb off the board	1st qb taken in draft ej manuel	1
82	Damon EJ 1st Qb off the board	EJ MANUEL 1st QB taken to Buffalo	1
83	Damon EJ 1st Qb off the board	EJ Manuel 1st QB selection in 2013 NFL Draft	1
84	Damon EJ 1st Qb off the board	EJ Manuel selected as 1st QB in the Draft	1
85	Damon EJ 1st Qb off the board	Manuel is the 1st QB to get drafted	1
86	Damon EJ 1st Qb off the board	When's the 1st QB coming off the board	0
87	Damon EJ 1st Qb off the board	Yoooooo EJ Manuel was the 1st QB picked	1
88	Damon EJ 1st Qb off the board	if EJ is the 1st QB off the board	1
89	Damon EJ 1st Qb off the board	who will be the 1st QB to go	0
90	EJ Manuel the 1st QB to go in this draft	EJ Manuel had himself as the 1st QB	1
91	EJ Manuel the 1st QB to go in this draft	Ej Manuel 1st QB picked he on	1
92	EJ Manuel the 1st QB to go in this draft	So EJ Manuel ends up the 1st QB taken anyway	1
93	EJ Manuel the 1st QB to go in this draft	So EJ manuel was the 1st qb off the board	1
94	EJ Manuel the 1st QB to go in this draft	To EJ Manuel Being The 1st QB Taken In Da Draft	1
95	EJ Manuel the 1st QB to go in this draft	Very surprised to see Manuel as the 1st QB taken	1
96	EJ Manuel the 1st QB to go in this draft	Was that the 1st QB pick yall	0
97	EJ Manuel the 1st QB to go in this draft	Who woulda thought EJ would be the 1st QB taken in the draft	1
98	EJ Manuel the 1st QB to go in this draft	no way ej manuel was the 1st qb picked	1
99	EJ Manuel the 1st QB to go in this draft	t Ej Manuel 1st Qb off the board VA good Sh	1
100	50 Cent killing this track for the NFL Draft	50 Cent is still the man	0
101	50 Cent killing this track for the NFL Draft	50 Cent just butchered that commercial	0
102	50 Cent killing this track for the NFL Draft	50 Cent's rap to start the NFL Draft was incredibly bad	1
103	50 Cent killing this track for the NFL Draft	50 cent is so lame now	0
104	50 Cent killing this track for the NFL Draft	50 cent with the NFL draft spot	1
105	50 Cent killing this track for the NFL Draft	I dont really get this 50 Cent song thing	0
106	50 Cent killing this track for the NFL Draft	So 50 cent is still rapping	0
107	50 Cent killing this track for the NFL Draft	That Russell Wilson and 50 cent commercial is pretty damn sweet	0
108	50 Cent killing this track for the NFL Draft	That remade song by The Heavy and 50 Cent is tight	1
109	50 Cent killing this track for the NFL Draft	The Heavy's How You Like Me Now featuring 50 Cent	0
110	Peter Pan is coming on abc family right now	Ahhhhhh original Disney movies on abc family	0
111	Peter Pan is coming on abc family right now	Cinderella on abc family is so well remastered	0
112	Peter Pan is coming on abc family right now	Disney classics marathon on abc family	0
113	Peter Pan is coming on abc family right now	Disney movies on abc family is the perfect thing after that long prom night	0
114	Peter Pan is coming on abc family right now	Harry Potter marathon next weekend on ABC family	0
115	Peter Pan is coming on abc family right now	Peter Pan then the lion king then Cinderella are on abc family tonight starting now	0
116	Peter Pan is coming on abc family right now	Seriously ABC Family is on point today	0
117	Peter Pan is coming on abc family right now	The Peter Pan cartoon on ABC family is an absolute classic	1
118	Peter Pan is coming on abc family right now	When a disney movie marathon is on abc family	0
119	Peter Pan is coming on abc family right now	abc family has it going on today	0
120	Wtf Aaron Brooks is back on Houston	2009 Aaron Brooks we need ya	0
121	Wtf Aaron Brooks is back on Houston	Aaron Brooks still got his ball handling skills I see	0
122	Wtf Aaron Brooks is back on Houston	Aaron Brooks was RAW before he went to China he been quiet since he came back	0
123	Wtf Aaron Brooks is back on Houston	Aaron Brooks with some solid help D	0
124	Wtf Aaron Brooks is back on Houston	Dont sleep on Aaron brooks tho my boy cold asf	0
125	Wtf Aaron Brooks is back on Houston	I thought Aaron brooks got traded	0
126	Wtf Aaron Brooks is back on Houston	Is that Aaron Brooks damn cuzz where you been	0
127	Wtf Aaron Brooks is back on Houston	One of my favorite players is Aaron Brooks	0
128	Wtf Aaron Brooks is back on Houston	Yo Aaron Brooks with the WET	0
129	Wtf Aaron Brooks is back on Houston	why Aaron brooks dont get more Play time	0
130	figures the patriots get Aaron Dobson	Aaron Dobson is going to be Tom Brady's new Favorite Weapon	0
131	figures the patriots get Aaron Dobson	Aaron Dobson once made this catch	0
132	figures the patriots get Aaron Dobson	Aaron Dobson went to RandyMoss university	0
133	figures the patriots get Aaron Dobson	Congrats to Aaron Dobson who is now a Patriot	1
134	figures the patriots get Aaron Dobson	I love the Patriots pick there with Aaron Dobson	1
135	figures the patriots get Aaron Dobson	My angle of the greatest college catch ever from Aaron Dobson	0
136	figures the patriots get Aaron Dobson	New England Patriots select Aaron Dobson Marshall wide receiver	1
137	figures the patriots get Aaron Dobson	Patriots select Marshall WR Aaron Dobson with 59th overall pick	1
138	figures the patriots get Aaron Dobson	Tom Brady is going to make Aaron Dobson a beast	0
139	figures the patriots get Aaron Dobson	With 59th overall pick the Patriots selected Marshall WR Aaron Dobson	1
140	59th pick Patriots take Aaron Dobson wr Marshall	Aaron Dobson from Marshall is going to be the next Randy Moss	1
141	59th pick Patriots take Aaron Dobson wr Marshall	Aaron Dobson from Marshall to the Patriots	1
142	59th pick Patriots take Aaron Dobson wr Marshall	Aaron Dobson good pick for the Patriots	1
143	59th pick Patriots take Aaron Dobson wr Marshall	Aaron Dobson is a fucking cutie	0
144	59th pick Patriots take Aaron Dobson wr Marshall	Aaron Dobson still has the sickest catch Ive ever seen	0
145	59th pick Patriots take Aaron Dobson wr Marshall	I like Aaron Dobson to the Pats	0
146	59th pick Patriots take Aaron Dobson wr Marshall	Patriots pass up WRs Keenan Allen for WR Aaron Dobson from Marshall	1
147	59th pick Patriots take Aaron Dobson wr Marshall	Patriots take Aaron Dobson WR from Marshall	1
148	59th pick Patriots take Aaron Dobson wr Marshall	South Charleston High grad Aaron Dobson picked by the New England Patriots	1
149	59th pick Patriots take Aaron Dobson wr Marshall	They pluck Aaron Dobson from the Herd	1
150	Aaron dobson is a smart pick	Aaron Dobson follows in the footsteps of Troy Brown and Randy Moss	0
151	Aaron dobson is a smart pick	Aaron Dobson is a fucking cutie	0
152	Aaron dobson is a smart pick	Aaron Dobson is going to be a name to hear for years to come	1
153	Aaron dobson is a smart pick	Aaron Dobson went to the New England Patriots	1
154	Aaron dobson is a smart pick	Good pick by the Patriots taking Aaron Dobson	1
155	Aaron dobson is a smart pick	Patriots 59th pick is WR Aaron Dobson MRSH	0
156	Aaron dobson is a smart pick	Pats got Jamie Collins and WR Aaron Dobson	0
157	Aaron dobson is a smart pick	They pluck Aaron Dobson from the Herd	1
158	Aaron dobson is a smart pick	Welcome to the patriotsnation Aaron Dobson	1
159	Aaron dobson is a smart pick	Wow congrats to Aaron Dobson getting drafted to Patriots	1
160	Love the Patriots Aaron Dobson pick	Aaron Dobson from Marshall is going to be the next Randy Moss	0
161	Love the Patriots Aaron Dobson pick	Aaron Dobson is a playmaker to say the least	0
162	Love the Patriots Aaron Dobson pick	Aaron Dobson's a fucking dog tho	0
163	Love the Patriots Aaron Dobson pick	Aaron Dobson to the patriots good to see	1
164	Love the Patriots Aaron Dobson pick	Hope Aaron Dobson will be a great WR for the Pats	1
165	Love the Patriots Aaron Dobson pick	My angle of the greatest college catch ever from Aaron Dobson	0
166	Love the Patriots Aaron Dobson pick	Now I need to watch Aaron Dobson highlights	0
167	Love the Patriots Aaron Dobson pick	The Patriots have selected WR Aaron Dobson from Marshall with the 59th pick in the	1
168	Love the Patriots Aaron Dobson pick	With the 59th overall pick the Patriots select Aaron Dobson WR Marshall	1
169	Love the Patriots Aaron Dobson pick	figures the patriots get Aaron Dobson	1
170	With the 59th pick MY Patriots select Aaron Dobson WR from Marshall	Aaron Dobson at 59 to New England	1
171	With the 59th pick MY Patriots select Aaron Dobson WR from Marshall	Aaron Dobson is a good young WR to develop with Tom Brady as his QB	0
172	With the 59th pick MY Patriots select Aaron Dobson WR from Marshall	Aaron Dobson taken with the 59th overall pick by the Patriots	1
173	With the 59th pick MY Patriots select Aaron Dobson WR from Marshall	Aaron Dobson to the Patriots may be a steal	0
174	With the 59th pick MY Patriots select Aaron Dobson WR from Marshall	Follow the newest Patriot WR Aaron Dobson on Twitter	0
175	With the 59th pick MY Patriots select Aaron Dobson WR from Marshall	Hey Aaron Dobson is from South Charleston	0
176	With the 59th pick MY Patriots select Aaron Dobson WR from Marshall	Love the Patriots Aaron Dobson pick	0
177	With the 59th pick MY Patriots select Aaron Dobson WR from Marshall	Patriots WR Aaron Dobson can do this	0
178	With the 59th pick MY Patriots select Aaron Dobson WR from Marshall	Patriots grab WR Aaron Dobson Todd McShay loves the pick Mel Kiper finds fault	0
179	With the 59th pick MY Patriots select Aaron Dobson WR from Marshall	The Patriots select Aaron Dobson WRMarshall with pick 59	1
180	AARON DOBSON to the patriots lets go good pick	Aaron Dobson out of Marshall is going to be a stud in the NFL	0
181	AARON DOBSON to the patriots lets go good pick	Glad the Pats drafted Aaron Dobson	1
182	AARON DOBSON to the patriots lets go good pick	Good pick by the Patriots with Aaron Dobson	1
183	AARON DOBSON to the patriots lets go good pick	I'm really freaking happy that Aaron Dobson got drafted to the patriots	1
184	AARON DOBSON to the patriots lets go good pick	My angle of the greatest college catch ever from Aaron Dobson	0
185	AARON DOBSON to the patriots lets go good pick	Patriots New WR 63 210 Aaron Dobson	1
186	AARON DOBSON to the patriots lets go good pick	Patriots finally get a wide receiver Aaron Dobson of Marshall	1
187	AARON DOBSON to the patriots lets go good pick	Pats take Aaron Dobson ThunderingHerd baby	1
188	AARON DOBSON to the patriots lets go good pick	That catch highlight is sick for Aaron Dobson	0
189	AARON DOBSON to the patriots lets go good pick	With 59th pick in the 2013 NFL Draft the Patriots select WR Aaron Dobson from Marshall University	1
190	With the 59th pick the Patriots select WR Aaron Dobson from Marshall	AARON DOBSON WELCOME TO THE Patriots I'm VERY GLAD PROUD TO HAVE U ON OUR TEAM	1
191	With the 59th pick the Patriots select WR Aaron Dobson from Marshall	Aaron Dobson Good pick by the patriots	1
192	With the 59th pick the Patriots select WR Aaron Dobson from Marshall	Aaron Dobson is a playmaker to say the least	0
193	With the 59th pick the Patriots select WR Aaron Dobson from Marshall	Aaron Dobson is going to be a legit	1
194	With the 59th pick the Patriots select WR Aaron Dobson from Marshall	Aaron Dobson pats 2nd round pick	1
195	With the 59th pick the Patriots select WR Aaron Dobson from Marshall	Big fan of Aaron Dobson great pick for Patriots	1
196	With the 59th pick the Patriots select WR Aaron Dobson from Marshall	Patriots pick WR Aaron Dobson at No	1
197	With the 59th pick the Patriots select WR Aaron Dobson from Marshall	South Charleston graduate Aaron Dobson goes to New England	1
198	With the 59th pick the Patriots select WR Aaron Dobson from Marshall	That catch highlight is sick for Aaron Dobson	0
199	With the 59th pick the Patriots select WR Aaron Dobson from Marshall	The New England Patriots have selected Marshall WR Aaron Dobson at No	1
200	Welcome to the patriotsnation Aaron Dobson	Aaron Dobson is going to be stud with the Pats	1
201	Welcome to the patriotsnation Aaron Dobson	Aaron Dobson one of the best coming out	0
202	Welcome to the patriotsnation Aaron Dobson	Aaron Dobson's one handed catch	0
203	Welcome to the patriotsnation Aaron Dobson	Aaron Dobson to the Pats great hands	1
204	Welcome to the patriotsnation Aaron Dobson	Aaron Dobson went to the New England Patriots	1
205	Welcome to the patriotsnation Aaron Dobson	Good pick by the Patriots with Aaron Dobson	1
206	Welcome to the patriotsnation Aaron Dobson	I love Aaron Dobson pick by the Patriots	1
207	Welcome to the patriotsnation Aaron Dobson	Patriots finally get a wide receiver Aaron Dobson of Marshall	1
208	Welcome to the patriotsnation Aaron Dobson	Patriots select Marshall WR Aaron Dobson with their second pick	1
209	Welcome to the patriotsnation Aaron Dobson	With the 59th pick of the 2013 NFLDraft the Patriots select Aaron Dobson WR Marshall	1
210	Welcome to the family Aaron Dobson Patriots PatriotsNation	Aaron Dobson WR welcome to the Patriots	1
211	Welcome to the family Aaron Dobson Patriots PatriotsNation	Aaron Dobson fills a definite need	0
212	Welcome to the family Aaron Dobson Patriots PatriotsNation	Aaron Dobson is a good pick up	1
213	Welcome to the family Aaron Dobson Patriots PatriotsNation	Aaron Dobson is a great pick for the Patriots	1
214	Welcome to the family Aaron Dobson Patriots PatriotsNation	Aaron Dobson is going to be Tom Brady's new Favorite Weapon	1
215	Welcome to the family Aaron Dobson Patriots PatriotsNation	New England Patriots Select WR Aaron Dobson From The University Of Marshall	1
216	Welcome to the family Aaron Dobson Patriots PatriotsNation	Patriots select Marshall WR Aaron Dobson in effort to replace weswelker	1
217	Welcome to the family Aaron Dobson Patriots PatriotsNation	That catch by Aaron Dobson from Marshall was sick	0
218	Welcome to the family Aaron Dobson Patriots PatriotsNation	Well Aaron Dobson welcome to New England	1
219	Welcome to the family Aaron Dobson Patriots PatriotsNation	with a very savvy pick in Marshall WR Aaron Dobson	0
220	Aaron Dobson is a great pick for the Patriots	Aaron Dobson is a freak of nature	0
221	Aaron Dobson is a great pick for the Patriots	Aaron Dobson is going to be Tom Brady's new Favorite Weapon	1
222	Aaron Dobson is a great pick for the Patriots	Aaron Dobson went to the New England Patriots	1
223	Aaron Dobson is a great pick for the Patriots	And there it goes Aaron Dobson to the pats	1
224	Aaron Dobson is a great pick for the Patriots	Damn Aaron Dobson is a beast i wanted him to the ravens so bad	0
225	Aaron Dobson is a great pick for the Patriots	Love the Patriots Aaron Dobson pick	1
226	Aaron Dobson is a great pick for the Patriots	My angle of the greatest college catch ever from Aaron Dobson	0
227	Aaron Dobson is a great pick for the Patriots	Oh hey Aaron Dobson welcome to the Patriots	1
228	Aaron Dobson is a great pick for the Patriots	Patriots got Marshall WR Aaron Dobson	1
229	Aaron Dobson is a great pick for the Patriots	That onehanded catch is literally the only highlight you need to show for Aaron Dobson	0
230	Aaron Rodgers signs a new 110m extension with the Packers	Aaron Rodgers is signed for 5 more years	1
231	Aaron Rodgers signs a new 110m extension with the Packers	Aaron Rodgers is signed for a long time	1
232	Aaron Rodgers signs a new 110m extension with the Packers	Aaron Rodgers isnt worth all that money	0
233	Aaron Rodgers signs a new 110m extension with the Packers	Aaron Rodgers the highest paid player now bitches	0
234	Aaron Rodgers signs a new 110m extension with the Packers	Also drinks are on Aaron Rodgers	0
235	Aaron Rodgers signs a new 110m extension with the Packers	Congrats to Aaron Rodgers new deal worth 5 years 110Mill	1
236	Aaron Rodgers signs a new 110m extension with the Packers	Gren Bay Packers quarterback Aaron Rodgers	0
237	Aaron Rodgers signs a new 110m extension with the Packers	Haha Aaron Rodgers is game of thrones fan	0
238	Aaron Rodgers signs a new 110m extension with the Packers	Hell of a pay day for Aaron Rodgers	0
239	Aaron Rodgers signs a new 110m extension with the Packers	Packers reach longterm contract extension with QB Aaron Rodgers	1
240	Packers signed Aaron Rodgers to a 5yr110 million dollar contract	Aaron Rodgers 5 yrs 110 million 40 million in first yr of contract	1
241	Packers signed Aaron Rodgers to a 5yr110 million dollar contract	Aaron Rodgers contract with Packers 5years 110M	1
